StudentID,FirstName,LastName,Birthday,EmContactPhone
1,Rina,Mcdonald,12/11/81 0:31,1-215-652-1059
2,Ferris,Fitzgerald,03/04/61 21:32,1-594-401-2827
3,Hedda,Flowers,10/04/98 11:41,1-966-853-7995
4,Owen,Rodgers,07/14/95 1:34,1-684-272-4189
5,Clarke,Espinoza,05/26/50 7:49,1-243-713-4390
6,Hayley,Zimmerman,01/05/99 23:42,1-497-970-8769
7,Nadine,Bass,02/23/59 11:41,1-105-556-5803
8,Jade,Key,05/06/72 21:07,1-211-117-9960
9,Gregory,Trujillo,03/21/78 20:04,1-511-304-5032
10,Margaret,Carver,12/16/86 2:42,1-347-752-3314
11,Austin,Ayers,02/25/75 19:58,1-526-651-1230
12,Briar,Perry,06/19/97 2:14,1-129-900-1952
13,Zeus,Mckee,03/20/57 18:00,1-494-223-2790
14,Aladdin,Hendrix,09/21/87 3:26,1-291-242-8665
15,Willa,Wolfe,09/30/07 0:42,1-630-588-0588
16,Riley,Robbins,03/14/97 1:31,1-890-335-4828
17,Garrison,Gutierrez,08/20/04 6:22,1-207-985-5465
18,Dana,Hood,07/11/95 0:32,1-214-976-6351
19,Holmes,Obrien,09/29/48 16:40,1-342-402-2299
20,Charde,Osborne,06/01/10 6:25,1-957-945-1023
21,Colt,Morales,07/15/50 1:10,1-610-633-7605
22,Charity,Bradford,06/22/85 6:48,1-740-641-1797
23,Portia,Wyatt,06/09/53 21:10,1-615-842-4596
24,Kirby,Hall,10/01/86 22:12,1-408-211-7188
25,Vivien,Mcfarland,05/23/51 13:23,1-271-740-0599
26,Brendan,Mills,12/05/53 0:58,1-808-793-3287
27,Ivor,Hendricks,06/16/09 9:26,1-472-673-2824
28,Hanna,Jacobson,03/31/11 8:17,1-381-272-0377
29,Rylee,Dickson,08/09/76 1:50,1-103-294-8179
30,Rana,Pate,05/20/15 5:20,1-206-918-6770
31,Brennan,Castro,02/19/57 6:54,1-734-190-8116
32,Catherine,Miller,11/29/49 23:06,1-676-735-0221
33,Paula,Stevens,10/22/42 16:21,1-521-774-4954
34,Finn,Cain,06/01/95 14:17,1-177-252-3685
35,Dolan,Webb,11/21/87 22:38,1-955-771-1774
36,Reed,Roy,10/03/76 15:37,1-200-352-2921
37,Linus,Pruitt,10/28/09 0:24,1-261-278-4060
38,Oliver,Gillespie,08/07/77 22:13,1-858-403-0998
39,Micah,Craig,09/27/59 19:47,1-765-762-0924
40,Griffith,Hatfield,08/30/82 10:34,1-457-978-3029
41,Yeo,Cortez,01/28/15 19:10,1-702-709-9300
42,Taylor,Bender,11/28/43 3:35,1-484-918-3177
43,Ivan,Alston,09/11/83 7:43,1-801-798-4708
44,Dawn,Dickson,11/29/88 16:34,1-412-526-9030
45,Travis,Bruce,01/14/13 21:06,1-212-386-0003
46,Yeo,Solis,01/27/81 2:24,1-566-227-6326
47,Julian,Stanton,02/21/76 5:34,1-410-469-5084
48,Linus,Small,04/22/66 13:09,1-791-546-3473
49,Cathleen,Reed,04/10/43 10:10,1-108-612-1798
50,Clio,Roman,07/25/61 10:12,1-974-699-1273
51,Amela,Hawkins,08/07/94 7:24,1-338-359-1978
52,Nola,Bentley,08/15/72 13:21,1-954-140-8727
53,Sylvia,Castro,05/28/60 12:44,1-878-912-8148
54,Kelly,Cook,09/25/11 4:28,1-692-960-2935
55,Vaughan,Mosley,06/19/67 1:32,1-367-740-1605
56,Libby,Macias,11/15/61 16:29,1-195-627-1045
57,Hope,Holman,06/15/54 12:13,1-689-432-9008
58,Lavinia,Love,04/15/64 17:22,1-934-310-4054
59,Hammett,Dominguez,06/30/93 16:57,1-769-473-3217
60,Nevada,Carpenter,08/28/81 14:29,1-120-174-8849
61,Devin,Medina,02/03/89 6:39,1-634-901-1872
62,Vivien,Fulton,07/01/73 17:50,1-911-610-3643
63,Valentine,Miranda,01/13/66 13:13,1-868-816-6185
64,Cathleen,Benton,02/25/93 2:03,1-130-814-4389
65,Melodie,Copeland,04/14/93 14:11,1-663-324-5872
66,Paula,Garner,09/18/75 2:20,1-368-618-4472
67,Althea,Garrett,10/12/85 4:18,1-318-312-8411
68,Riley,Long,11/16/13 20:59,1-952-596-1593
69,Kermit,Stone,07/30/10 2:09,1-448-972-6689
